0.0321455322     17.1147745549      0.00
0.1083077793     16.0084461681      0.00
0.1599070001     15.1502793800      0.00
0.2572594885     14.0638258416      0.00
0.3626335302     13.0112491450      0.00
0.4608367894     12.0702077903      0.00
0.5624431318     11.2224172952      0.00
0.6597956202     10.3831595585      0.00
0.7573911860     9.6225250957       0.00
0.8545005970     8.9898820088       0.00
0.9567146328     8.3645527148       0.00
1.0558902015     7.7599458340       0.00
1.1574965439     7.2126303311       0.00
1.2385254074     6.8173908824       0.00
1.3269548825     6.5150926939       0.00
1.4185616438     6.1021527739       0.00
1.5337803192     5.6054243386       0.00
1.6295528047     5.2732562439       0.00
1.7284852960     4.9855803893       0.00
1.8258377843     4.7113131551       0.00
1.9261072012     4.4297321280       0.00
2.0325750911     4.1463226527       0.00
2.1299275795     3.8720554184       0.00
2.2185292824     3.7294364567       0.00
2.3228094759     3.5423252547       0.00
2.4208911964     3.3728890522       0.00
2.5231052323     3.1863873329       0.00
2.6145023250     3.0359321644       0.00
2.7151363579     2.8408106178       0.00
2.8177150098     2.6783733570       0.00
2.9178628880     2.5574011425       0.00
2.9864107076     2.5180591759       0.00

